"claveciudad","nombreciudad","ano","mes","especificacion","preciopromedio","cantidad","unidad"
1,Área Met. de la Cd. de México,"2,017",9,"POZOLERO, S/CABEZA, A GRANEL",23.51,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"PALOMERO, A GRANEL",29,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"POZOLERO, S/CABEZA, A GRANEL",16.25,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",9,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
3,"Morelia, Mich.","2,017",9,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",28,"1",KG
3,"Morelia, Mich.","2,017",9,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",9,"POZOLERO, BLANCO, A GRANEL",16,"1",KG
5,"Monterrey, N.L.","2,017",9,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",9,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",9,"POZOLERO, A GRANEL",15,"1",KG
11,"Puebla, Pue.","2,017",9,"POZOLERO, S/CABEZA, A GRANEL",15,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",9,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",9,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",9,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,017",9,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",9,"PALOMERO, A GRANEL",15.25,"1",KG
16,"Veracruz, Ver.","2,017",9,"POZOLERO, S/CABEZA, A GRANEL",20.75,"1",KG
22,"Córdoba, Ver.","2,017",9,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",9,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",9,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",9,"POZOLERO, A GRANEL",27,"1",KG
24,"Tijuana, B.C.","2,017",9,"PALOMERO, A GRANEL",22.5,"1",KG
26,"Colima, Col.","2,017",9,"POZOLERO, GRANDE, A GRANEL",15,"1",KG
26,"Colima, Col.","2,017",9,"POZOLERO, GRANDE, A GRANEL",14.5,"1",KG
31,"Iguala, Gro.","2,017",9,"POZOLERO, A GRANEL",24.5,"1",KG
34,"Cortazar, Gto.","2,017",9,"POZOLERO, A GRANEL",27,"1",KG
36,"Durango, Dgo.","2,017",9,"PALOMERO, A GRANEL",22.5,"1",KG
37,"Tepic, Nay.","2,017",9,"POZOLERO, GRANDE, A GRANEL",18,"1",KG
37,"Tepic, Nay.","2,017",9,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",9,"POZOLERO, S/CABEZA, A GRANEL",22,"1",KG
39,"Querétaro, Qro.","2,017",9,"PALOMERO, A GRANEL",19,"1",KG
39,"Querétaro, Qro.","2,017",9,"PALOMERO, A GRANEL",23,"1",KG
41,"Tlaxcala, Tlax.","2,017",9,"PALOMERO, A GRANEL",16,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"POZOLERO, S/CABEZA, A GRANEL",24,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"PALOMERO, A GRANEL",29.5,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"POZOLERO, S/CABEZA, A GRANEL",16.38,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",8,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
3,"Morelia, Mich.","2,017",8,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",28,"1",KG
3,"Morelia, Mich.","2,017",8,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",8,"POZOLERO, BLANCO, A GRANEL",16,"1",KG
5,"Monterrey, N.L.","2,017",8,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",8,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",8,"POZOLERO, A GRANEL",15.25,"1",KG
11,"Puebla, Pue.","2,017",8,"POZOLERO, S/CABEZA, A GRANEL",15,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",8,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",8,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",8,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,017",8,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",8,"POZOLERO, S/CABEZA, A GRANEL",20,"1",KG
16,"Veracruz, Ver.","2,017",8,"PALOMERO, A GRANEL",15.5,"1",KG
22,"Córdoba, Ver.","2,017",8,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",8,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",8,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",8,"POZOLERO, A GRANEL",27,"1",KG
24,"Tijuana, B.C.","2,017",8,"PALOMERO, A GRANEL",23,"1",KG
26,"Colima, Col.","2,017",8,"POZOLERO, GRANDE, A GRANEL",15,"1",KG
26,"Colima, Col.","2,017",8,"POZOLERO, GRANDE, A GRANEL",14.5,"1",KG
31,"Iguala, Gro.","2,017",8,"POZOLERO, A GRANEL",26,"1",KG
34,"Cortazar, Gto.","2,017",8,"POZOLERO, A GRANEL",22.5,"1",KG
36,"Durango, Dgo.","2,017",8,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",8,"POZOLERO, GRANDE, A GRANEL",17,"1",KG
37,"Tepic, Nay.","2,017",8,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",8,"POZOLERO, S/CABEZA, A GRANEL",21.5,"1",KG
39,"Querétaro, Qro.","2,017",8,"PALOMERO, A GRANEL",19.25,"1",KG
39,"Querétaro, Qro.","2,017",8,"PALOMERO, A GRANEL",20,"1",KG
41,"Tlaxcala, Tlax.","2,017",8,"PALOMERO, A GRANEL",16,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"POZOLERO, S/CABEZA, A GRANEL",24,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"PALOMERO, A GRANEL",28,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"PALOMERO, A GRANEL",25.75,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",7,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
3,"Morelia, Mich.","2,017",7,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",28,"1",KG
3,"Morelia, Mich.","2,017",7,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",7,"POZOLERO, BLANCO, A GRANEL",16,"1",KG
5,"Monterrey, N.L.","2,017",7,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",7,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",7,"POZOLERO, A GRANEL",15.75,"1",KG
11,"Puebla, Pue.","2,017",7,"POZOLERO, S/CABEZA, A GRANEL",15,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",7,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",7,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",7,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,017",7,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",7,"POZOLERO, S/CABEZA, A GRANEL",21,"1",KG
16,"Veracruz, Ver.","2,017",7,"PALOMERO, A GRANEL",15,"1",KG
22,"Córdoba, Ver.","2,017",7,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",7,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",7,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",7,"POZOLERO, A GRANEL",27,"1",KG
24,"Tijuana, B.C.","2,017",7,"PALOMERO, A GRANEL",23,"1",KG
26,"Colima, Col.","2,017",7,"POZOLERO, GRANDE, A GRANEL",15,"1",KG
26,"Colima, Col.","2,017",7,"POZOLERO, GRANDE, A GRANEL",14.5,"1",KG
31,"Iguala, Gro.","2,017",7,"POZOLERO, A GRANEL",24,"1",KG
34,"Cortazar, Gto.","2,017",7,"POZOLERO, A GRANEL",22,"1",KG
36,"Durango, Dgo.","2,017",7,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",7,"POZOLERO, GRANDE, A GRANEL",16,"1",KG
37,"Tepic, Nay.","2,017",7,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",7,"POZOLERO, S/CABEZA, A GRANEL",23,"1",KG
39,"Querétaro, Qro.","2,017",7,"PALOMERO, A GRANEL",20,"1",KG
39,"Querétaro, Qro.","2,017",7,"PALOMERO, A GRANEL",19.25,"1",KG
41,"Tlaxcala, Tlax.","2,017",7,"PALOMERO, A GRANEL",16.5,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"POZOLERO, S/CABEZA, A GRANEL",24,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"PALOMERO, A GRANEL",28,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"PALOMERO, A GRANEL",28,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"PALOMERO, A GRANEL",33.25,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"POZOLERO, S/CABEZA, A GRANEL",16.38,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",6,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
3,"Morelia, Mich.","2,017",6,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",28,"1",KG
3,"Morelia, Mich.","2,017",6,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",6,"POZOLERO, BLANCO, A GRANEL",16,"1",KG
5,"Monterrey, N.L.","2,017",6,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",6,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",6,"POZOLERO, A GRANEL",15,"1",KG
11,"Puebla, Pue.","2,017",6,"POZOLERO, S/CABEZA, A GRANEL",15,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",6,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",6,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",6,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,017",6,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",6,"POZOLERO, S/CABEZA, A GRANEL",22,"1",KG
16,"Veracruz, Ver.","2,017",6,"PALOMERO, A GRANEL",15,"1",KG
22,"Córdoba, Ver.","2,017",6,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",6,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",6,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",6,"POZOLERO, A GRANEL",27,"1",KG
24,"Tijuana, B.C.","2,017",6,"PALOMERO, A GRANEL",23.25,"1",KG
26,"Colima, Col.","2,017",6,"POZOLERO, GRANDE, A GRANEL",15,"1",KG
26,"Colima, Col.","2,017",6,"POZOLERO, GRANDE, A GRANEL",14.5,"1",KG
31,"Iguala, Gro.","2,017",6,"POZOLERO, A GRANEL",24,"1",KG
34,"Cortazar, Gto.","2,017",6,"POZOLERO, A GRANEL",22,"1",KG
36,"Durango, Dgo.","2,017",6,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",6,"POZOLERO, GRANDE, A GRANEL",16,"1",KG
37,"Tepic, Nay.","2,017",6,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",6,"POZOLERO, S/CABEZA, A GRANEL",20.5,"1",KG
39,"Querétaro, Qro.","2,017",6,"PALOMERO, A GRANEL",19.5,"1",KG
39,"Querétaro, Qro.","2,017",6,"PALOMERO, A GRANEL",23.75,"1",KG
41,"Tlaxcala, Tlax.","2,017",6,"PALOMERO, A GRANEL",17,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"POZOLERO, S/CABEZA, A GRANEL",24,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"PALOMERO, A GRANEL",32,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"PALOMERO, A GRANEL",27.25,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"PALOMERO, A GRANEL",31,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"POZOLERO, S/CABEZA, A GRANEL",17,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",5,"POZOLERO, S/CABEZA, A GRANEL",16,"1",KG
3,"Morelia, Mich.","2,017",5,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",28,"1",KG
3,"Morelia, Mich.","2,017",5,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",5,"POZOLERO, BLANCO, A GRANEL",18,"1",KG
5,"Monterrey, N.L.","2,017",5,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",5,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",5,"POZOLERO, A GRANEL",15.5,"1",KG
11,"Puebla, Pue.","2,017",5,"POZOLERO, S/CABEZA, A GRANEL",15,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",5,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",5,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",5,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,017",5,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",5,"POZOLERO, S/CABEZA, A GRANEL",21.75,"1",KG
16,"Veracruz, Ver.","2,017",5,"PALOMERO, A GRANEL",15.4,"1",KG
22,"Córdoba, Ver.","2,017",5,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",5,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",5,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",5,"POZOLERO, A GRANEL",28,"1",KG
24,"Tijuana, B.C.","2,017",5,"PALOMERO, A GRANEL",23,"1",KG
26,"Colima, Col.","2,017",5,"POZOLERO, GRANDE, A GRANEL",14.25,"1",KG
26,"Colima, Col.","2,017",5,"POZOLERO, GRANDE, A GRANEL",14.13,"1",KG
31,"Iguala, Gro.","2,017",5,"POZOLERO, A GRANEL",21,"1",KG
34,"Cortazar, Gto.","2,017",5,"POZOLERO, A GRANEL",22.75,"1",KG
36,"Durango, Dgo.","2,017",5,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",5,"POZOLERO, GRANDE, A GRANEL",19.5,"1",KG
37,"Tepic, Nay.","2,017",5,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",5,"POZOLERO, S/CABEZA, A GRANEL",22,"1",KG
39,"Querétaro, Qro.","2,017",5,"PALOMERO, A GRANEL",25,"1",KG
39,"Querétaro, Qro.","2,017",5,"PALOMERO, A GRANEL",19,"1",KG
41,"Tlaxcala, Tlax.","2,017",5,"PALOMERO, A GRANEL",18,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"POZOLERO, S/CABEZA, A GRANEL",22.83,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"PALOMERO, A GRANEL",22,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"PALOMERO, A GRANEL",28,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"POZOLERO, S/CABEZA, A GRANEL",17.75,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",3,"POZOLERO, S/CABEZA, A GRANEL",17.5,"1",KG
3,"Morelia, Mich.","2,017",3,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",25,"1",KG
3,"Morelia, Mich.","2,017",3,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",3,"POZOLERO, BLANCO, A GRANEL",21,"1",KG
5,"Monterrey, N.L.","2,017",3,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",3,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",3,"POZOLERO, A GRANEL",16,"1",KG
11,"Puebla, Pue.","2,017",3,"POZOLERO, S/CABEZA, A GRANEL",16.5,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",3,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",3,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",3,"PALOMERO, A GRANEL",18,"1",KG
14,"Toluca, Edo. de Méx.","2,017",3,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",3,"POZOLERO, S/CABEZA, A GRANEL",20.75,"1",KG
16,"Veracruz, Ver.","2,017",3,"PALOMERO, A GRANEL",14.5,"1",KG
22,"Córdoba, Ver.","2,017",3,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",3,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",3,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",3,"POZOLERO, A GRANEL",29.25,"1",KG
24,"Tijuana, B.C.","2,017",3,"PALOMERO, A GRANEL",23,"1",KG
26,"Colima, Col.","2,017",3,"POZOLERO, GRANDE, A GRANEL",14.75,"1",KG
26,"Colima, Col.","2,017",3,"POZOLERO, GRANDE, A GRANEL",22.5,"1",KG
31,"Iguala, Gro.","2,017",3,"POZOLERO, A GRANEL",20,"1",KG
34,"Cortazar, Gto.","2,017",3,"POZOLERO, A GRANEL",24.5,"1",KG
36,"Durango, Dgo.","2,017",3,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",3,"POZOLERO, GRANDE, A GRANEL",21.5,"1",KG
37,"Tepic, Nay.","2,017",3,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",3,"POZOLERO, S/CABEZA, A GRANEL",23,"1",KG
39,"Querétaro, Qro.","2,017",3,"PALOMERO, A GRANEL",25.25,"1",KG
39,"Querétaro, Qro.","2,017",3,"PALOMERO, A GRANEL",22,"1",KG
41,"Tlaxcala, Tlax.","2,017",3,"PALOMERO, A GRANEL",18,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"POZOLERO, S/CABEZA, A GRANEL",23,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"PALOMERO, A GRANEL",22,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"PALOMERO, A GRANEL",25.75,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"POZOLERO, S/CABEZA, A GRANEL",18.25,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,017",2,"POZOLERO, S/CABEZA, A GRANEL",19,"1",KG
3,"Morelia, Mich.","2,017",2,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",25,"1",KG
3,"Morelia, Mich.","2,017",2,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,017",2,"POZOLERO, BLANCO, A GRANEL",22,"1",KG
5,"Monterrey, N.L.","2,017",2,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,017",2,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,017",2,"POZOLERO, A GRANEL",16,"1",KG
11,"Puebla, Pue.","2,017",2,"POZOLERO, S/CABEZA, A GRANEL",17,"1",KG
12,"San Luis Potosí, S.L.P.","2,017",2,"PALOMERO, A GRANEL",27.8,"1",KG
13,"Tapachula, Chis.","2,017",2,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,017",2,"PALOMERO, A GRANEL",18,"1",KG
14,"Toluca, Edo. de Méx.","2,017",2,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,017",2,"POZOLERO, S/CABEZA, A GRANEL",20.5,"1",KG
16,"Veracruz, Ver.","2,017",2,"PALOMERO, A GRANEL",14.5,"1",KG
22,"Córdoba, Ver.","2,017",2,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,017",2,"PALOMERO, A GRANEL",16,"1",KG
24,"Tijuana, B.C.","2,017",2,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,017",2,"POZOLERO, A GRANEL",33,"1",KG
24,"Tijuana, B.C.","2,017",2,"PALOMERO, A GRANEL",23,"1",KG
26,"Colima, Col.","2,017",2,"POZOLERO, GRANDE, A GRANEL",18.5,"1",KG
26,"Colima, Col.","2,017",2,"POZOLERO, GRANDE, A GRANEL",22.5,"1",KG
31,"Iguala, Gro.","2,017",2,"POZOLERO, A GRANEL",21,"1",KG
34,"Cortazar, Gto.","2,017",2,"POZOLERO, A GRANEL",26,"1",KG
36,"Durango, Dgo.","2,017",2,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,017",2,"POZOLERO, GRANDE, A GRANEL",21,"1",KG
37,"Tepic, Nay.","2,017",2,"POZOLERO, A GRANEL",16,"1",KG
38,"Oaxaca, Oax.","2,017",2,"POZOLERO, S/CABEZA, A GRANEL",22,"1",KG
39,"Querétaro, Qro.","2,017",2,"PALOMERO, A GRANEL",20.25,"1",KG
39,"Querétaro, Qro.","2,017",2,"PALOMERO, A GRANEL",24,"1",KG
41,"Tlaxcala, Tlax.","2,017",2,"PALOMERO, A GRANEL",16,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"POZOLERO, S/CABEZA, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"PALOMERO, A GRANEL",23,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"PALOMERO, A GRANEL",18,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"PALOMERO, A GRANEL",25,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"POZOLERO, S/CABEZA, A GRANEL",17,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"PALOMERO, A GRANEL",20,"1",KG
1,Área Met. de la Cd. de México,"2,016",12,"POZOLERO, S/CABEZA, A GRANEL",19,"1",KG
3,"Morelia, Mich.","2,016",12,"  POZOLERO,   BLANCO, SIN CABEZA, A GRANEL",25,"1",KG
3,"Morelia, Mich.","2,016",12,"PALOMERO, A GRANEL",14,"1",KG
4,"Guadalajara, Jal.","2,016",12,"POZOLERO, BLANCO, A GRANEL",22,"1",KG
5,"Monterrey, N.L.","2,016",12,"POZOLERO, BLANCO, A GRANEL",8,"1",KG
7,"Cd. Juárez, Chih.","2,016",12,"POZOLERO, BLANCO, A GRANEL",9,"1",KG
10,"León, Gto.","2,016",12,"POZOLERO, A GRANEL",20,"1",KG
11,"Puebla, Pue.","2,016",12,"POZOLERO, S/CABEZA, A GRANEL",17,"1",KG
12,"San Luis Potosí, S.L.P.","2,016",12,"PALOMERO, A GRANEL",27.98,"1",KG
13,"Tapachula, Chis.","2,016",12,"PALOMERO, A GRANEL",20,"1",KG
14,"Toluca, Edo. de Méx.","2,016",12,"PALOMERO, A GRANEL",19,"1",KG
14,"Toluca, Edo. de Méx.","2,016",12,"PALOMERO, A GRANEL",18,"1",KG
16,"Veracruz, Ver.","2,016",12,"POZOLERO, S/CABEZA, A GRANEL",21.5,"1",KG
16,"Veracruz, Ver.","2,016",12,"PALOMERO, A GRANEL",14,"1",KG
22,"Córdoba, Ver.","2,016",12,"PALOMERO, A GRANEL",18,"1",KG
23,"Aguascalientes, Ags.","2,016",12,"PALOMERO, A GRANEL",15.25,"1",KG
24,"Tijuana, B.C.","2,016",12,"POZOLERO, A GRANEL",29,"1",KG
24,"Tijuana, B.C.","2,016",12,"POZOLERO, A GRANEL",35,"1",KG
24,"Tijuana, B.C.","2,016",12,"PALOMERO, A GRANEL",20,"1",KG
26,"Colima, Col.","2,016",12,"POZOLERO, GRANDE, A GRANEL",21,"1",KG
26,"Colima, Col.","2,016",12,"POZOLERO, GRANDE, A GRANEL",22.75,"1",KG
31,"Iguala, Gro.","2,016",12,"POZOLERO, A GRANEL",24,"1",KG
34,"Cortazar, Gto.","2,016",12,"POZOLERO, A GRANEL",27,"1",KG
36,"Durango, Dgo.","2,016",12,"PALOMERO, A GRANEL",23,"1",KG
37,"Tepic, Nay.","2,016",12,"POZOLERO, GRANDE, A GRANEL",22,"1",KG
37,"Tepic, Nay.","2,016",12,"POZOLERO, A GRANEL",21,"1",KG
38,"Oaxaca, Oax.","2,016",12,"POZOLERO, S/CABEZA, A GRANEL",22,"1",KG
39,"Querétaro, Qro.","2,016",12,"PALOMERO, A GRANEL",25.75,"1",KG
39,"Querétaro, Qro.","2,016",12,"PALOMERO, A GRANEL",20.25,"1",KG
41,"Tlaxcala, Tlax.","2,016",12,"PALOMERO, A GRANEL",17,"1",KG
